LeagueIndex,UniqueUnitsMade,UniqueHotkeys,Age,HoursPerWeek,TotalHours,APM,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,ComplexUnitsMade,ComplexAbilitiesUsed,SelectByHotkeys,AssignToHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs
1,6,7,27,10,3000,143.718,32.6677,40.8673,4.7508,28,7.415946,0,0,18.66549429,1.16659107,0.58329819,2.08320327,25.74838647
1,5,4,23,10,5000,129.2322,32.9194,42.3454,4.8434,22,6.337485,0,1.1021967,17.54324172,1.37774322,1.56144267,2.29623516,22.87050984
0,6,4,30,10,200,69.9612,44.6475,75.3548,4.043,22,3.9535605,0,1.0023156,5.84679321,1.78188201,1.55914344,2.45008179,15.53575905
0,7,1,19,20,400,107.6016,29.2203,53.7352,4.9155,19,2.263122,0,2.0368098,5.48810802,1.13157162,2.83E-01,2.88550179,20.08534581
0,4,2,32,10,500,122.8908,22.6885,62.0813,9.374,15,6.236595,0,0.10223874,6.03223434,1.73810106,0,7.05464298,12.57566769
0,6,2,27,6,70,44.457,76.4405,98.7719,3.0965,16,1.9764351,0,0,5.1952509,1.35528192,0,0,12.87519417
0,5,6,21,8,240,46.9962,94.0227,90.5311,4.1017,15,3.0424176,0,0,4.35480534,0.89482527,0,2.39E-01,10.55891376
1,9,6,17,42,10000,212.6022,24.6117,41.7671,6.6104,45,12.092463,0.68648211,1.3201722,48.00101409,3.5908344,6.17834961,6.65360523,26.29758384
0,7,2,20,14,2708,117.4884,52.014,46.4321,3.3746,29,5.494257,1.44852552,2.4974523,15.63410025,2.79715401,9.99E-02,2.19776652,28.67084586
0,6,8,18,24,800,155.9856,24.4632,52.1538,6.5664,27,6.957693,0,0,26.83625148,2.78301879,1.33E-01,2.12039451,18.95103423
0,7,4,16,16,6000,153.801,23.4107,48.0711,7.0044,24,8.457768,0,0.08902746,8.90282565,1.69153767,0,4.36238271,20.03135373
0,7,3,26,4,190,79.2948,39.6381,65.5,4.2269,19,4.0200948,0.56805318,1.3982823,2.01004209,1.35459162,8.74E-02,0.87393042,18.8768907
0,7,1,18,12,350,67.4754,42.437,68.0502,4.3222,16,3.9743757,0,2.3076729,2.24359182,0.89743779,1.28E-01,0.76923315,15.32051289
0,5,2,38,6,1000,119.4366,54.8718,79.2102,6.2293,21,7.934733,0,0,26.29534833,2.77E-01,4.61E-01,1.85E-01,14.48551008
1,7,2,16,30,5000,160.4754,36.2897,46.8889,5.4361,28,10.518579,0,0,22.5879966,2.29251285,4.11304104,2.15766009,24.27367203
1,6,4,17,16,1500,81.7722,45.1654,64.75,4.5312,15,6.61626,0,1.2029805,12.39080004,2.28568419,0,1.32328917,15.39827784
0,6,1,28,8,2000,50.8374,45.7902,76.8889,3.5,13,3.5264241,0,1.5672996,3.52641879,1.1754747,9.80E-02,0.7836498,14.10566985
1,10,7,20,10,120,160.6464,28.3636,37.7947,4.7671,29,14.695956,4.64E-01,0.5414076,18.21512664,3.36458061,0,5.03E-01,29.39171553
1,9,5,16,14,350,107.9118,67.0744,71.3251,4.3786,27,7.074513,1.27338048,0,35.58393486,3.74940162,7.07E-02,2.47602114,17.1906471
0,5,5,26,28,1100,114.7806,40.4427,59.937,4.9961,16,8.392986,0,0,13.96324503,1.52603559,1.29713211,1.83124377,19.38067695
1,8,8,21,10,800,115.1274,30.766,49.4854,4.679,30,4.3810155,0,2.7454293,14.07760119,3.50479647,5.26E-01,3.68003709,22.02180192
1,10,3,21,6,500,133.7016,21.4686,50.5253,5.4892,29,5.354073,0,2.9743434,23.89391145,2.23075755,9.91E-02,3.97E-01,20.57255955
1,7,1,18,20,800,99.5088,22.7265,68.7321,6.7054,23,10.415034,0,0,3.8976462,0.57506238,1.28E-01,3.0670029,14.31266958
1,9,3,26,10,500,83.9172,51.2082,52.0494,2.8663,31,3.4734303,0,0,15.15215403,2.61764946,0,0,24.46494354
0,5,4,17,14,500,216.6936,27.9255,45.1605,6.3395,18,6.39324,0,0,66.34658619,2.55725883,2.84E-01,0.56828151,23.01530292
0,11,5,23,20,800,129.8598,36.3934,57.5215,6.7587,36,3.9971556,1.50835329,6.523866,12.29306418,1.77231339,4.15E-01,5.35464648,18.43959627
1,12,10,18,70,2520,267.5586,34.6035,40.6025,4.1629,36,4.5437139,4.70E-01,1.0445301,147.6972995,3.7603296,0,0.67894722,29.82148569
1,5,6,25,6,800,74.1174,46.4122,71.8173,3.7944,34,4.9307067,0,0,4.64625,1.09044567,9.48E-02,2.37E-01,18.67982067
1,4,5,25,20,700,101.6796,26.7979,54.5979,5.3144,22,5.482044,0,3.024576,7.46689014,2.26842138,0,0.661626,18.33641766
1,6,6,18,10,160,150.5004,30.2222,45.5941,4.9077,14,5.34717,0,0,30.09011859,3.35341899,1.99392624,2.1751884,24.56151651
0,6,1,19,6,150,64.6416,53.5776,78.2944,4.2284,41,3.3842223,3.72E-01,0.33469992,3.57014664,1.78507332,0.81815949,1.07848224,14.65248303
0,6,0,18,8,250,41.9094,54.4677,91.3069,3.6881,17,3.5479827,0,0.11263572,1.46423781,1.01370555,0,0.90106983,11.37599532
1,8,4,16,16,1000,128.0784,35.393,56.4019,5.2711,27,2.2858488,0,0,14.62263552,5.04E-01,1.27737891,0.87399945,21.07676529
1,9,9,16,28,500,161.3466,34.1209,47.1034,5.8466,48,7.155225,2.00643129,0.9085941,32.44360617,3.06643473,1.74143043,3.861432,21.9571686
0,6,4,22,4,400,90.7686,44.7424,59.5321,4.5698,15,3.7543293,0,1.7381223,8.55151074,2.08573614,0,0.97334424,18.42397956
1,6,7,20,14,730,162.0876,23.5303,51.034,5.7698,28,13.818744,0,0.07987833,40.33862037,3.03538185,1.35793161,3.99392181,21.16778931
0,4,4,18,6,230,69.5076,45.0612,112.96,9.14,11,3.0987567,0,0,0.9296217,1.08455688,3.10E-01,1.08455688,7.74684927
0,6,0,16,24,300,81.0702,47.48,75.0846,5.0796,14,4.2916482,1.38E-01,0.20765817,9.27547083,0.55375866,1.38E-01,0.76142214,13.9132089
1,6,1,22,8,300,157.332,33.0417,57.7716,5.8581,29,10.051299,0,0,41.11355115,1.18664163,0.69802074,5.23517148,20.17286523
0,6,4,23,4,100,67.6194,49.4333,89.9174,7.1322,17,4.4488242,5.11E-01,1.458657,8.31419622,2.11501548,2.19E-01,5.9803875,8.82471555
0,6,4,25,10,200,75.9642,45.1018,78.3095,6.5417,15,4.9550796,0,0,3.23732115,0.72674784,0.66067551,1.71776376,11.0993868
1,8,7,25,12,200,164.1114,40.4604,43.7815,5.6365,32,6.782994,1.14715116,5.785776,17.90548992,2.14466652,0.59851134,8.32929255,26.48416131
0,4,2,20,14,270,101.7864,22.569,54.6094,4.2961,15,5.1442218,0,1.1431899,7.71636456,2.85791103,2.86E-01,1.61948097,22.19644782
0,6,4,25,8,100,79.128,50.5327,67.1422,5.345,28,2.3181867,0,3.41E-02,2.6590887,4.77E-01,1.02E-01,9.13636476,14.62499847
0,5,5,22,20,1200,120.7014,44.8387,60.9175,4.8089,31,2.7405972,0,0,29.18176344,1.27380528,0,1.16E-01,19.18430784
1,4,2,18,20,800,108.5424,28.4762,61.9294,5.8353,11,13.461381,0,0,11.15384616,2.11538718,0,2.30769414,16.34615532
1,6,4,18,28,800,84.1578,48.8675,77.7485,4.9042,15,4.6050444,2.66E-01,0.5313717,12.57538626,3.188124,0,0,14.7893589
0,6,2,23,2,30,66.7818,56.7784,97.9785,4.9355,19,2.2675824,0,0,3.64187943,0.89329068,2.75E-01,5.90946714,12.78094167
1,9,4,18,28,2000,129.1464,25.0245,43.0827,4.1917,35,4.4172828,0.92455065,2.5681815,13.9709817,3.18456099,4.11E-01,1.79773767,27.32559453
0,7,0,18,8,600,62.2194,44.3164,90.8989,4.5393,14,3.7725426,0,0.5694444,5.83673076,1.70831196,2.14E-01,1.06769232,12.66997329
0,8,5,20,6,150,72.141,45.9164,68.8778,3.7528,24,4.2327603,0.64736865,1.8923247,6.57325962,2.09149218,9.96E-02,1.44412353,17.92707507
0,3,3,23,20,100,83.9658,44.0476,78.0706,4.6118,10,3.8209167,0,0,14.19202107,2.00143989,0,0.90974637,15.46566705
1,7,1,17,56,540,199.6854,25.3831,33.9054,6.7095,29,11.085156,0,0.08593173,27.32683707,2.40613623,1.72E-01,1.546803,25.43630184
0,9,2,29,12,800,66.6738,38.5126,72.16,5.46,20,5.476734,1.33882092,0.7911369,1.70395245,2.43E-01,0,1.03454199,12.17108286
0,8,7,27,24,250,73.9722,58.8858,88.6889,4.4111,24,3.0886146,0.554364,1.2671253,14.05704618,2.41543404,3.96E-02,0.98993268,14.25503484
1,2,10,21,8,730,130.941,36.8047,57.2471,5.7765,11,3.1715568,0,0,25.26658362,4.0172805,4.23E-01,0.74002815,17.97204546
0,6,0,27,8,280,55.047,62.8452,83.8667,3.9333,22,2.7977859,0,0.9512334,3.41331579,0.67147074,3.92E-01,5.04E-01,13.42944135
1,8,10,16,10,1600,181.104,20.8037,39.2255,5.6993,30,9.147006,1.93839957,6.23925,29.9240271,3.08932083,0,2.42300079,26.59240035
0,3,1,22,36,1000,98.6694,52.6957,62.5806,5.828,17,3.140865,0,0,23.76144288,2.45807865,1.36559925,1.91183895,12.70008099
0,7,4,18,6,50,107.4186,37.3723,56.0436,5.0873,24,5.0857056,0,0,16.08174387,1.64940813,1.16833275,1.78686279,18.89949006
0,5,3,18,4,140,119.8716,42.6609,67.6068,7.1496,20,12.449295,0,0.06319431,13.5233487,2.21176368,2.53E-01,3.41243433,14.78721366
